"課程名稱","A分數","A判定理由","B分數","B判定理由","C分數","C判定理由","D分數","D判定理由","整體判定","主要依據","證據不足處"
"人工智慧基礎程式設計","0","課程大綱僅寫「奠定學生Python程式設計基礎」，未提及 AI 工具、AI 學習、提示詞、AI 輔助學習或自主學習歷程，因此不能判定有運用 AI 學習的能力。","0","課程名稱雖含「人工智慧」，但大綱未出現 AI 倫理、法規、個資、偏誤、風險、責任或治理等內容，因此不能判定有負責任使用 AI 的能力。","0","大綱僅述及 Python 程式設計基礎，未明確提及 AI 模型、AI 應用、以 AI 解決問題、實作任務或驗證修正流程，因此不能判定有運用 AI 解決問題的能力。","0","課程內容未出現 AI 協作情境，也未提及人類判斷、同理心、溝通、真實場域或創意整合於 AI 使用中，因此不能判定有 AI 無法取代的能力。","A=0;B=0;C=0;D=0","課程大綱未明確呈現任何 AI 教學、AI 應用或人機協作內容，僅有 Python 基礎程式設計。","課名含 AI，但大綱未證實課程實際涉及 AI，因此各項能力均不得推定。"
"人工智慧基礎程式設計","0","課程大綱僅寫「奠定學生Python程式設計基礎」，未提及 AI 工具、AI 學習、提示詞、AI 輔助學習或自主學習歷程，因此不能判定有運用 AI 學習的能力。","0","課程名稱雖含「人工智慧」，但大綱未出現 AI 倫理、法規、個資、偏誤、風險、責任或治理等內容，因此不能判定有負責任使用 AI 的能力。","0","大綱僅述及 Python 程式設計基礎，未明確提及 AI 模型、AI 應用、以 AI 解決問題、實作任務或驗證修正流程，因此不能判定有運用 AI 解決問題的能力。","0","課程內容未出現 AI 協作情境，也未提及人類判斷、同理心、溝通、真實場域或創意整合於 AI 使用中，因此不能判定有 AI 無法取代的能力。","A=0;B=0;C=0;D=0","課程大綱未明確呈現任何 AI 教學、AI 應用或人機協作內容，僅有 Python 基礎程式設計。","課名含 AI，但大綱未證實課程實際涉及 AI，因此各項能力均不得推定。"
"人工智慧基礎程式設計","2","課程明確提到「了解人工智慧的原理並能應用於日常生活」、「建立正確的人工智慧知識並妥善應用於日常生活中」，顯示學生會接觸 AI 基本概念與應用；但未明寫使用 AI 工具輔助學習、提示策略或自主學習規劃，因此僅屬初步相關。","1","雖提到「建立正確的人工智慧知識並妥善應用」，但未具體涉及 AI 倫理、著作權、個資、偏誤、風險管理、揭露或責任歸屬，因此只能算零星相關，不能高估。","2","大綱明確有「了解人工智慧的原理」與「應用於日常生活相關之實務」、「討論、實作」，表示學生會接觸 AI 應用與實作；但未說明要以 AI 完成具體問題解決、模型建立、驗證修正或品質評估。","1","課程強調日常生活中的 AI 應用與「討論、實作」，可見會有一定的人機或情境脈絡，但未明寫批判 AI、保有人類主體性、同理心、溝通協作或真實場域洞察，因此 D 只能給低分。","A=2;B=1;C=2;D=1","課程明確有 AI 原理、日常應用與實作，但缺少 AI 輔助學習、倫理法規、問題解決流程與人機協作的具體描述。","未提及 AI 工具如何用於學習、也未提及查證、風險、責任、人機分工或成果評量，因此無法給更高分。"
"人工智慧基礎程式設計","2","課程明確提到「了解人工智慧的原理並能應用於日常生活」、「建立正確的人工智慧知識並妥善應用於日常生活中」，顯示學生會接觸 AI 基本概念與應用；但未明寫使用 AI 工具輔助學習、提示策略或自主學習規劃，因此僅屬初步相關。","1","雖提到「建立正確的人工智慧知識並妥善應用」，但未具體涉及 AI 倫理、著作權、個資、偏誤、風險管理、揭露或責任歸屬，因此只能算零星相關，不能高估。","2","大綱明確有「了解人工智慧的原理」與「應用於日常生活相關之實務」、「討論、實作」，表示學生會接觸 AI 應用與實作；但未說明要以 AI 完成具體問題解決、模型建立、驗證修正或品質評估。","1","課程強調日常生活中的 AI 應用與「討論、實作」，可見會有一定的人機或情境脈絡，但未明寫批判 AI、保有人類主體性、同理心、溝通協作或真實場域洞察，因此 D 只能給低分。","A=2;B=1;C=2;D=1","課程明確有 AI 原理、日常應用與實作，但缺少 AI 輔助學習、倫理法規、問題解決流程與人機協作的具體描述。","未提及 AI 工具如何用於學習、也未提及查證、風險、責任、人機分工或成果評量，因此無法給更高分。"
"教育科技專題研究","4","課程明確寫出「能熟悉AI Tools應用於管理、教學與研究」，並安排「學生課前教材的預習」、「講述、實作與討論」、「學生課後作業」及研究報告，顯示學生會運用 AI 工具作為學習與研究輔助；同時也有自我探索與課後延伸，符合運用 AI 學習的多項面向。","1","大綱主要是 AI Tools 的應用與教育科技理論，未明確提及 AI 倫理、著作權、個資、隱私、偏誤、風險、揭露或責任歸屬，因此負責任使用 AI 的證據不足。","4","課程明確要求「AI Tools 應用於管理、教學與研究」的探究與實作，並以「完成一份相關主題的研究報告」作為成果，屬於將 AI 納入具體專題與研究任務；但未明寫驗證 AI 產出、比較方案、品質控管或人機分工，因此未達最高分。","3","課程有教育科技理論、AI 工具應用、討論實作與研究報告，且學生需進行自我探索，顯示 AI 協作下的學習與研究脈絡；但大綱未直接強調批判 AI、同理心、跨情境溝通或以人類判斷作最終決策，因此 D 為中等。","A=4;B=1;C=4;D=3","主要依據是課程明確教授 AI Tools 應用於管理、教學與研究，並搭配實作、討論與研究報告。","缺少 AI 倫理/法規/風險內容；也未明寫驗證、修正、人機分工、成果評量細節與 AI 協作下的人類主體性要求。"
"數位學習專題研究","1","大綱僅寫「瞭解行動學習與人工智慧的理論基礎與實施方式」，屬於認識 AI 理論與實施方式，未見學生實際使用 AI 作為學習工具、進行學習規劃、反思或自主學習活動，因此僅能給零星相關分數。","0","課程文字僅提到 AI 理論與實施方式，未出現倫理、法規、個資、偏誤、風險、查證、揭露或責任等要求，因此不能判定有負責任使用 AI 的能力。","1","雖有「人工智慧的理論基礎與實施方式」，表示與 AI 應用相關，但未說明學生需用 AI 解決問題、完成專題、分析資料或驗證成果，因此僅屬低度相關。","0","大綱未提及批判 AI、同理心、溝通協作、真實場域洞察或人類主體性等內容，因此不能判定有 AI 無法取代的能力。","A=1;B=0;C=1;D=0","課程只明確提到 AI 的理論基礎與實施方式，未見實作、學習工具運用或責任治理內容。","缺少 AI 工具使用於學習、倫理法規、問題解決任務、人機協作與評量等可觀察證據。"
"網路學習科技","2","課程大綱僅寫出「了解進階的人工智慧」，可視為有接觸 AI 相關概念，但未明確出現學生使用 AI 輔助學習、資訊整理、反思或自主學習的活動，因此僅能給初步相關分數。","0","大綱未提及 AI 倫理、法規、著作權、個資、偏誤、資安、風險、治理或責任等內容，因此不能推定。","1","課程僅有「了解進階的人工智慧」這類概念性描述，未明確說明要用 AI 分析、生成、解決問題或完成專題，因此只能列為零星相關。","0","大綱未出現 AI 協作中的判斷、同理心、溝通、真實情境或人類主體性等證據，因此不能推定。","A=2;B=0;C=1;D=0","主要依據是大綱僅明確提到 AI，且只屬於概念了解，缺乏具體實作與倫理/協作要求。","A 雖有 AI 字樣，但未寫明使用 AI 作為學習工具；B、D 完全欠缺相關文字；C 也未見明確問題解決任務或作品。"
"機器學習","1","課程明確教授人工智慧與機器學習核心概念、分類與分群演算法、資料前處理與模型驗證，屬於學習 AI 技術本身；但未見學生把 AI 作為學習工具來搜尋、整理、反思或自主學習，因此 A 只能給零星相關分數。","0","大綱未提及 AI 倫理、著作權、個資、偏誤、幻覺、查證、風險管理或責任歸屬，因此不能推定有負責任使用 AI 的培養。","4","課程明確包含模式識別、監督式與非監督式學習、分類與分群演算法、資料前處理、特徵工程、模型驗證、影像處理與實際資料分析問題，並要求理解與應用，屬於運用 AI 解決問題的重要組成；但未明寫完整專題流程、人機分工或持續監控，因此未達 5 分。","0","大綱主要聚焦演算法與模型評估，未出現 AI 協作中的主體性、同理心、溝通、文化情境或人類決策責任等內容，因此不能計入 D。","A=1;B=0;C=4;D=0","主要依據是課程以機器學習理論、資料前處理、模型驗證與實務應用為核心，明確支撐 C。","A 未見學生實際把 AI 當作學習工具；B、D 皆無 AI 倫理或人機協作的明確文字；C 也未明寫完整專題、驗證流程或人機分工。"
"智慧型系統專題研究","1","大綱主要描述人工智慧技術、機器學習與深度學習的緒論、實例、實務發展與應用，屬於學習 AI 技術內容；但未明確寫出學生會使用 AI 工具來輔助自己的學習、整理、反思或自主規劃，因此 A 只能給低分。","0","大綱未提及 AI 倫理、法規、著作權、個資、偏誤、風險、治理或責任，因此不能推定有負責任使用 AI 的教育。","4","課程明確談人工智慧在各大產業、服務、新商品與革新中的應用，並安排機器學習、深度學習的實例、實務發展與期中、期末報告，顯示學生需接觸 AI 應用與專題實作；但未明確寫出驗證、修正、人機分工或品質控制機制，因此未達 5 分。","0","大綱雖有專題報告與實務應用，但未明確呈現 AI 協作下的判斷、同理心、溝通、創意主體性或真實場域觀察，因此 D 不得加分。","A=1;B=0;C=4;D=0","主要依據是課程明確涵蓋 AI 應用、機器學習、深度學習實例與期末報告，對 C 的支撐最強。","A 缺少 AI 作為學習工具的明寫；B 完全未見倫理/法規/風險；D 未見人類主體性、協作或真實情境的具體說明。"
"人工智慧","1","課程僅寫「建立人工智慧的基本素養與未來視野」「培養學生對人工智慧(AI)的基本認識」，屬於 AI 概念入門，未明確顯示學生會用 AI 工具輔助學習或進行自主學習，因此 A 只能給初步相關分數。","0","大綱未提及 AI 倫理、法規、著作權、個資、偏誤、資安、風險或責任等面向，因此不能推定 B。","1","課程內容僅為 AI 基本認識與素養，未明確寫出使用 AI 分析、生成、建模、解題或專題任務，因此只能給零星相關。","0","大綱未出現 AI 協作中的判斷、同理心、溝通、真實世界洞察或人類主體性等證據，因此不能計入 D。","A=1;B=0;C=1;D=0","主要依據是課程僅有 AI 基本素養與認識，屬概念性導論，缺乏實作與應用。","A 未明確寫 AI 輔助學習；B、D 皆無相關文字；C 也未見問題解決或專題實作。"
