"系統序號","課程名稱","課程大綱","A分數","A判定理由","B分數","B判定理由","C分數","C判定理由","D分數","D判定理由","整體判定","主要依據","證據不足處"
"8194010","國文","""  授課對象為中文系大一學生;故本課程的設計以學生中學所學為基礎;讓學生先再次思索讀書的本質、如何成就人生的智慧等問題;進而引領學生進入較他們中學所認識的唐宋及明清古文、古文家;更為深、廣的領域。尤其是在AI浪潮下;讓AI為我們中文人所用;而非成為AI的奴隸。      一方面選介唐宋、明清古文大家的作品;另一方面加強學生的甄別能力;特別是數位時代流通之文本良莠不齊;文本鑑識力亟需培養;故安排有「古典散文文獻簡介」一單元;主要介紹「傳統集部文獻」、「類書、叢書文獻」、「電子文獻」等三種類型的文獻。同時也引介中、西方文論;建構傳統與現代對話的模式;增進學生對古文鑑賞及語文表達之能力。      Bertrand Russell曾說:「人類自古以來有三個敵人;其一是自然(nature)」;其二是他人(other people);其三是自我(ego)。」故在進行語文教學的同時;也將緊扣「自我叩問」、「人與人(他人、家庭、社會、國家)」、「人與自然(環境)」等來進行探究。  ""","1","課程提及在AI浪潮下讓AI為中文人所用，顯示將AI視為工具的初步概念；但未明確說明AI工具選擇、操作方式或運用AI提升學習成效。","0","大綱未明確提及AI倫理、法規、著作權、個資、資安、偏誤、查證或責任歸屬，因此不能推定具備負責任使用AI的能力。","0","課程雖提到讓AI為中文人所用，但未明確要求學生使用AI進行分析、生成或完成專業任務，因此不能推定具備運用AI解決問題的能力。","1","課程提出讓AI為人所用而非成為AI奴隸，略有AI情境下人類主體性的意涵；但未明確要求學生批判、驗證AI結果或提出人類判斷。","A=1;B=0;C=0;D=1","主要依據為課程明確提及AI工具應服務於中文學習者，並呈現人類不受AI支配的初步觀點。","大綱未提及具體AI工具操作、學習活動、倫理法規、風險查證、AI實作任務或人機協作評量。"
"8194265","聲音自媒體應用與創作","""      課程說明:             2020年;台灣邁入Podcast元年;聲音媒體入手相對容易;搭載台灣百花齊放之Podcast平台;2020年台灣新增超過 5;888檔節目;總數將近8;000檔;至今已有超過20;000檔繁體中文節目;其中至少有6;000檔節目定期更新;驚人的成長帶動聽眾的規模快速上升;也帶動許多聲音內容產業製作的可能性。但如何從零到有打造一艘聲音自媒體之船?又如何組成合適的隊伍?又如何開始航行?過程會經過哪些魔幻時刻?        為使前述畫面得以想像並實踐;本課程以「節目企劃」、「節目製作」與「節目展演」三大重心進行教學;除講師授課;亦將帶領學生進行討論及提案製作;以聲音產業的媒體專業性;搭載自媒體個人品牌特性;多管齊下將學生專業結合自媒體傳播特性;從聲音節目企劃、產業現況、節目企劃到軟硬體內容落實;進行跨域應用創作及後續社群推廣經營;達到綜效學習效果;也更符合產業製作碎片之化趨勢。        「節目企劃」環節從議題設定、創意發想、內容執行到效益評估;以結合業界講師個人作品與廣播Podcast經驗;搭載厚實理論對談與企劃評鑑建議;帶領學生從零開始;「看看別人想想自己」;完善理解企劃製作與執行的關鍵元素。        「節目製作」則圍繞「主持訓練」、「製作亮點」、「設備介紹」、「後製剪輯」、「版權認識」、「AI輔助」等環節規劃;希望學生能從零到有認識並掌握製作面向的多元性。        最後則是「節目展演」;透過期中的節目提案與Live Podcast活動規劃;力求爭取最多觀眾買單入場成為「VIP」;並在期末的Live Podcast結合活動流程與Podcast節目企劃;吸引觀眾訂閱節目、成為粉絲。由此讓學生理解自媒體市場生態;並得以評估投入自媒體市場的潛力。               習得技能分析:          透過本課程的企劃與實作安排;學生將能體驗實務過程從理解、發想到設計;並滾動式修正的精神;幫助學生在自媒體時代;能有提案、製作內容與展演之基礎能力。  ""","1","課程在節目製作環節列出AI輔助，顯示學生將接觸AI在聲音內容製作中的應用；但未說明工具功能、選用原則或具體學習活動。","0","課程提及版權認識，但未明確將其與AI使用連結；亦未提及AI倫理、個資、偏誤、風險、查證或責任。","1","課程將AI輔助列為節目製作環節之一，且安排節目企劃、製作與展演實作；但未明確說明學生以AI完成何種任務，也未安排AI結果驗證或人機分工。","0","課程包含創意發想、團隊組成與節目製作，但AI僅列為製作環節，未明確置於人類主體性、同理溝通或AI協作判斷的脈絡。","A=1;B=0;C=1;D=0","主要依據為大綱明列AI輔助，並有節目企劃、製作及展演等實作安排。","AI輔助的工具、用途與操作方式不明；未提及AI倫理、風險、查證、生成內容責任或人機協作流程。"
"8194268","劇本寫作與AI協作","""人工智慧應渴望而生;迅速編織出模式與文字。然而這反而讓我們自問:書寫的真諦為何?機器的創作;是否真的能稱作創作?    作為一名影視製作人和編劇;我使用AI協助寫作提案和劇本;這讓我重新審視自己的靈魂;也更加專注於創作的本質與品質。我想跟大家分享這一路上的心得。    這門課程旨在幫助學生了解和應用AI技術於劇本寫作;激發創作靈感;構建角色和發展情節。課程將於某學期九月開學前一周以兩天密集授課的形式進行。通過這門課程;你將學會如何讓技術服務於你的創意和靈感。    課程重點:       了解AI技術在文學創作中的應用   探索AI如何應用於劇本寫作中;了解其原理和極限;發掘其在文學創作中的潛力。   激發創作靈感   探索如何利用AI工具來激發創作靈感;構建鮮活的角色和發展引人入勝的故事情節。   實踐劇本寫作技巧   學習和實踐利用AI進行劇本寫作的技巧;最終創作出一個完整且具有質量的劇本。   探索AI時代的敘事方式   探討在AI時代;敘事方式如何改變我們創建、分享和體驗故事的方式。學習如何運用精準的提示策略;例如少樣本提示和零樣本提示;使AI的創作理念與你同步。      報名和參加條件:       本課程採密集授課形式;有意修課的同學需在開課公告期限內填寫Google表單報名;並接獲通知後始具備上課資格。   獲得上課資格通知的修課同學需自備筆電並事先註冊相關ChatGPT工具帳號。   自選: 如果想要進一步探索進階功能;例如:得到更多的高階版本對話條目、為(劇本)專案建構GPTs機器人;或是使用GPT Store中的外掛功能;請於上課時訂閱一個月Plus(20美金)。   本課程不開放系統選課;修課同學完成兩日密集課程;並繳交課堂作業後;再由開課單位進行加選並追認學分。   本課為大學部1學分課程;碩博士生可報名修習視為旁聽生;不會認列為成績單上的學分;若需學分;則需繳交學分費。   本課程為114學年第1學期課程;學生如於開課當期出國交換、辦理休學或保留學籍或退學;甚至於開學前一學期已畢業者;將無法獲得學分;但可視為旁聽生參加修習。    ""","4","課程明確要求了解並應用AI於劇本寫作，使用ChatGPT等工具激發靈感、構建角色、發展情節，並學習少樣本提示與零樣本提示；但未明確涵蓋自主規劃與評估學習歷程。","1","課程提及了解AI原理和極限，但未明確涵蓋AI倫理、著作權、個資、使用揭露、偏誤、風險管理或責任歸屬。","4","課程明確要求利用AI進行劇本寫作，並完成一個完整且具有品質的劇本，具備明確AI實作成果；但未明確要求驗證、修正AI內容、比較方案或規劃人機分工。","4","課程明確探討機器創作是否能稱為創作，並強調讓技術服務於學生的創意與靈感，涉及人類創作主體性、創意與對創作本質及品質的判斷；但未明確要求提出判斷依據或承擔決策責任。","A=4;B=1;C=4;D=4","主要符合A、C與D，因課程有明確AI工具、提示策略及完整劇本創作實作，並強調人類創意與創作本質。","B缺乏倫理、法律、著作權、個資、偏誤與風險內容；C缺乏系統性驗證與品質控制；D缺乏明確的人類決策評量與責任要求。"
"8194302","班級經營","""《班級經營》這堂課主要是透過理論講述、合作學習、小組討論、教學現場觀察、實際訪談班級經營技巧、班級個案處理分析、分享報告、AI蒐集資料、討論對話班級經營技巧和撰寫班級經營計畫書等方式;讓同學了解如何建立有效的班級經營。並藉由理性批判和感性思維;了解教學現場的班級經營策略;培育其未來職場的連結與應用。  ""","2","課程明確安排AI蒐集資料，作為討論班級經營技巧的學習方式，符合運用AI取得學習資訊；但未說明工具選用、提示策略、資訊整理或學習反思。","0","大綱未提及AI倫理、法規、個資、資安、偏誤、查證或責任歸屬，因此不能推定具備負責任使用AI的能力。","1","課程列出AI蒐集資料，並安排班級個案分析、技巧討論及班級經營計畫書撰寫；但未明確要求以AI分析或產出解決方案，也未提及驗證與品質控制。","0","課程包含合作學習、現場觀察、訪談及理性批判，但未明確將這些活動置於AI協作或人類不可取代能力的脈絡。","A=2;B=0;C=1;D=0","主要依據為課程明確將AI蒐集資料納入學習活動，並結合班級經營個案分析與計畫書撰寫。","AI的具體用途與操作方式不明；未提及負責任使用AI、AI結果驗證、人機分工或AI情境下的主體性與同理互動。"
"8194594","行政統計學","""首先;讓我們先談談許多同學心中的大哉問:「當初我就是討厭數學才選社會組的;為啥公共行政學系、甚至所有社會科學領域的科系統計學都還要必修 XD」    作為所有專業領域(包括公共行政與政策)的資料科學(data science)入門課程;本課程主要是讓從未接觸過統計方法的同學;具備公共行政與政策專業中量化資料分析的基礎知識與技能。    課程首先介紹敘述統計(descriptive statistics)與相關圖表的製作與呈現;其次將介紹作為推論統計(inferential statistics)基礎的相關機率理論(probability theory)與抽樣分配(sampling distribution);最後則操作推論統計分析中常用的點估計與區間估計;並實作卡方檢定、變異數分析、相關與簡單迴歸分析。    除了基本的紙筆計算;同學也必須運用電腦軟體 (如 Excel、JASP)實際操作統計方法並解讀分析成果。另外;鑑於生成式 AI(artificial intelligence; GenAI)工具的普及(如 ChatGPT、Claude、Gemini、Perplexity 等);本課程也將盡力善用。    其他補充詳如本課程共學大綱:https://docs.google.com/document/d/1nM-Cm3yMrx8Q_cZKHQ7GnyEttHxZSoOjvuZXmiCNvr8/edit?usp=sharing  ""","2","課程列舉ChatGPT、Claude、Gemini、Perplexity等生成式AI工具，並表示課程將盡力善用，具備AI工具接觸與學習應用的證據；但未明確說明使用任務、提示策略或學習成效評估。","0","大綱未提及生成式AI的倫理、法規、著作權、個資、偏誤、幻覺、查證或責任，因此不能推定具備負責任使用AI的能力。","1","課程安排統計分析實作，且表示將善用生成式AI，但未明確說明AI將如何進行資料分析、建模或解決行政統計問題，也未提及AI結果驗證與修正。","0","課程包含統計解讀與資料分析，但未明確置於AI協作情境，也未提及人類判斷、創意、同理心或真實場域洞察。","A=2;B=0;C=1;D=0","主要依據為大綱明列多種生成式AI工具，並表示課程將加以善用，且課程本身有統計分析實作。","生成式AI的實際教學活動、使用範圍、查證要求、風險規範及評量方式均未說明；外部共學大綱內容未提供於課程文字中。"
"8194602","人工智慧治理","培養學生理解人工智慧原理、應用情境與風險;具備AI素養與基本治理能力;能參與公共領域AI相關政策討論與實務規劃。","2","課程明確涵蓋人工智慧原理、應用情境與AI素養，符合理解AI基本原理與應用的能力；但未明確說明工具選用、AI輔助學習或自主學習活動。","3","課程明確提及AI風險、治理能力、公共領域AI政策討論與實務規劃，具備風險與治理面向；但未具體列出倫理、法規、個資、偏誤、資安或責任歸屬內容。","1","課程提及公共領域AI相關政策討論與實務規劃，但未明確要求學生使用AI進行分析、生成、預測或完成具體問題解決任務。","1","課程強調參與公共領域AI政策討論與實務規劃，略涉及人類對AI治理的判斷與參與；但未明確要求批判AI、承擔決策責任、考量同理互動或真實場域觀察。","A=2;B=3;C=1;D=1","主要符合B，因課程核心明確涉及AI風險、治理、公共政策討論與實務規劃；亦涵蓋AI原理與應用情境。","大綱過於簡略，未提供具體教學活動、實作任務、評量方式，以及倫理法規、資安、偏誤查證、人機分工與人類責任的明確內容。"
"8195068","歐盟經貿法","""歐盟乃一不斷發展之動態統合過程;不同學說試圖解釋此一新興現象與演進背景。歐盟政經統合已發展至貨幣同盟階段;並推動共同外交暨安全政策、銀行聯盟、資本市場聯盟、能源聯盟、單一數位經濟市場並規劃財政聯盟等;形成最高整合層次的區域經貿整合組織;歐盟自稱為「超國家組織」。歐盟法律與政策皆是27個會員國利益相互激盪、競爭、辯證及調和之結果;代表歐洲集體智慧與創意巧思。歐盟乃WTO正式會員;並積極參與國際組織活動;據此;歐盟政策不但規範其所屬會員國;也深深影響國際規則發展動向;值得吾人共同關心;參考借鑑。    歐盟是以內部市場及對外貿易取得最大成就。本課程將介紹歐盟經貿專題;包括共同貿易政策、歐盟新一代FTA政策、貨幣政策、歐元、數位策略、人工智慧法(AIA)、數位服務法(DSA)、數位市場法(DMA)、防治假訊息、食品安全;COVID-19因應、俄烏戰爭因應、歐盟對外關係、中美競爭地緣政治變遷對歐盟的影響;以及台歐經貿關係等議題。這些議題皆是國際學術主流議題;頗具時效性及挑戰性。    本課程也將從事下列專題研究:    (1) 歐盟共同貿易政策:本課程共同貿易政策專題研究將討論:歐盟新一代FTA政策、國家安全與歐盟外資審查機制、歐盟晶片與半導體發展策略、歐盟與我國及中國大陸之經貿關係、中美競爭地緣政治對歐盟的影響等重要議題。    (2) 歐盟經貿法專題:歐盟碳邊境調整機制(CBAM)、ESG企業責任;以及俄烏戰爭對歐盟能源安全與歐俄能源貿易關係的影響等議題。    (3) 歐盟數位策略、AIA、DSA及DMA、數位歐元、防治假訊息專題。  ""","1","課程大綱明確提及人工智慧法（AIA），可確認學生接觸AI相關法規與議題；但未明確安排AI工具操作、AI輔助學習或自主學習活動。","2","課程涵蓋人工智慧法（AIA）、數位服務法（DSA）、數位市場法（DMA）及防治假訊息，涉及AI治理與資訊風險議題；但未明確說明個資、偏誤、責任歸屬、使用揭露或具體倫理評量。","0","課程雖討論AI法規與數位策略，但未要求學生使用AI進行分析、生成、建模或完成專業任務，因此不能推定具備運用AI解決問題能力。","0","課程提及歐盟政策代表集體智慧與創意，也討論AI法規與防治假訊息，但未明確置於AI協作、人的判斷、同理心或創意整合情境，因此不能給分。","A=1;B=2;C=0;D=0","主要依據為大綱明確列出人工智慧法、數位平台法規與防治假訊息等AI相關議題。","大綱未提及AI工具實作、AI輔助學習、問題解決流程、結果驗證、人機分工或AI協作中的人類主體性。"
"8195351","紀實採寫","""本課程從AI無法取代的紀實採寫能力開始;培養學生:1.感知相關機構情境;2.了解新聞分類特徵;3.掌握新聞重點;4.執行新聞訪問;5.撰寫紀實報導等能力。  ""","0","大綱僅提及AI無法取代的紀實採寫能力，未說明使用AI作為學習工具或學習方法，因此不能推定符合A。","0","大綱未提及AI倫理、法規、隱私、資安、偏誤、查證或責任等負責任使用內容。","0","大綱未要求使用AI完成新聞採訪、報導或其他問題解決任務。","1","大綱明確以「AI無法取代的紀實採寫能力」為培養起點，涉及人類不可取代能力的定位；但未明確要求AI協作、批判AI結果、提出人類判斷或進行創意與真實場域整合。","A=0;B=0;C=0;D=1","主要依據為課程大綱直接指出培養AI無法取代的紀實採寫能力。","大綱未提及如何與AI協作，也未具體說明人類判斷、同理心、查證、責任或AI輔助採寫活動。"
"8195355","機器人與AI互動專題:理論與研究","""請注意:此門課程將以英語授課;所有的課間報告與討論也將以英文進行。Note: This course will be taught in English. All the in-class presentations and discussions will also be in English.        This seminar course explores advanced theories and research in Human-Robot Interaction (HRI) and Human-AI Interaction (HAI). Students will examine cutting-edge studies and core concepts in the field; including interaction dynamics; social implications; and the evolving roles of robots and AI agents in human environments. Through in-depth discussions and analyses of academic papers; students will critically evaluate the theoretical and empirical foundations of HRI and HAI while considering their applications in diverse contexts. The course also emphasizes understanding how these technologies influence communication; collaboration; and social structures.  ""","2","課程核心為人機器人互動與人類AI互動的進階理論、研究及核心概念，學生並分析學術論文；但內容主要是學習AI與互動理論，未明確使用AI提升個人學習或規劃自主學習。","2","大綱要求探討HRI與HAI的社會影響、AI代理人在人的環境中的角色，以及對溝通、合作與社會結構的影響，具備AI社會影響與價值議題；但未明確涵蓋法規、隱私、偏誤、資安或責任治理。","0","課程討論AI應用情境並分析學術論文，但未要求學生使用AI進行分析、生成、預測或完成專業問題解決任務，因此不能給分。","3","課程要求學生批判性評估HRI與HAI的理論及實證基礎，並思考AI對溝通、合作與社會結構的影響，符合AI情境下的批判判斷與人類社會互動思考；但未明確要求提出人類決策理由、承擔責任或進行實作協作。","A=2;B=2;C=0;D=3","主要依據為課程以HRI與HAI為核心，要求分析學術研究並批判性評估AI互動的理論、實證與社會影響。","大綱未提及AI工具操作、AI輔助學習策略、實際AI問題解決任務、結果驗證、人機分工或具體倫理與風險管理活動。"
"8195356","數位顛覆、新聞媒體與公民","""In this course we critically reflect on disruption to news practices and civic engagement caused by information and communication technologies. In doing so; we hold a historical view of the development of the media; considering both continuity and change in news production and consumption processes. We ask and analyse such questions as &lsquo;In what ways have mass media and legacy news media been transformed in the digital age? How do search engines and social media platforms shape news production processes? What role do journalists play in these processes? How do they imagine and address their news audiences? How do citizens of Taiwan and of other (democratic) societies engage with news? How do they make sense of news values and involve in content creation? What opportunity and risk has artificial intelligence (AI; hereafter) created for journalists and news audiences? How do digital innovations disrupt political communication processes; particularly pertaining to election and war? How do ordinary citizens deal with fake news?&rsquo; In our discussion on these questions; we regard digital technological innovation as one of important sites for producing; consuming and communicating news; and for acknowledging (public) values and constructing (civic) identities. Our inquiry into digital disruption to journalism and citizenship therefore goes beyond a matter of technological progress but focuses on the issues of affordances; experiences; identities; social imaginaries; and ethics. Moreover; our examination of these issues will investigate the global nature of digital media and simultaneously involve contextualising national and local cultures.  ""","1","課程明確討論人工智慧對新聞記者與新聞受眾所產生的機會與風險，但未安排使用AI進行搜尋、整理、摘要、練習或自主學習活動。","3","課程明確分析AI為新聞工作者與受眾帶來的機會與風險，並討論假新聞、新聞處理及倫理問題，符合AI風險、資訊查證與倫理脈絡；但未具體說明個資、偏誤、責任歸屬或治理措施。","0","課程分析AI對新聞與公民參與的影響，但未要求學生使用AI分析資料、生成內容、完成新聞任務或建立可驗證的AI問題解決流程。","2","課程在AI、數位媒體與公民參與脈絡下，討論新聞工作者角色、新聞受眾、公民如何處理假新聞及媒體倫理，涉及人類判斷與社會情境；但未明確要求AI協作、批判AI輸出或提出人類決策理由。","A=1;B=3;C=0;D=2","主要依據為課程明確討論AI對新聞工作的機會與風險、假新聞、公民參與及倫理。","大綱未提及AI工具實作、AI輔助學習、學生使用AI完成任務、AI輸出驗證或明確的人機分工。"
