系統序號,課程名稱,課程大綱,A分數,A判定理由,B分數,B判定理由,C分數,C判定理由,D分數,D判定理由,整體判定,主要依據,證據不足處
8194212,計算思維與人工智慧應用導論,"""本課程旨在介紹計算思維與人工智慧的基本概念、原理和應用;為之後修習資訊相關課程奠下基礎。21世紀數位時代;如何具有應用人工智慧技術能力;培養計算思維是第一步;因為計算思維是分析問題、制定解決方法的思考過程;其中解決的步驟得依循電腦運算邏輯;因此在有了抽象思考能力後;將進一步介紹電腦具體運作架構;兩者的結合將由人工智慧程式應用來加以練習;此外也將介紹人工智慧的發展歷程和未來趨勢;以及人工智慧對社會、經濟和文化的影響。  """,3,課程明確介紹人工智慧基本概念、原理與應用，並以人工智慧程式應用進行練習；屬於人工智慧技術與應用課程，可判定具備基礎的AI學習接觸。,1,課程提及人工智慧對社會、經濟和文化的影響，僅屬科技衝擊的概括介紹，未明確涵蓋AI倫理、法規、個資、偏誤、風險或責任。,3,課程明確說明計算思維用於分析問題、制定解決方法，並透過人工智慧程式應用練習；但未明確要求驗證結果、修正錯誤或進行品質評估。,0,課程雖提及人工智慧對社會、經濟和文化的影響，但未置於人機協作情境，也未明確要求人類判斷、同理心、創意或承擔決策責任。,A=3;B=1;C=3;D=0,主要具備人工智慧基礎學習與以計算思維分析問題、制定解法的內容。,未明確說明學生如何使用AI輔助自身學習、如何負責任使用AI，以及AI結果驗證、人機分工與人類不可取代能力。
8194213,人工智慧方法與工具,"""人工智慧技術廣泛導入於大數據及機器人視覺等文字及圖像資料類型;從家用及商用的智慧機器人;到智慧家電及智慧家庭環境;廣泛應用於日常生活中。本課程介紹人工智慧的理論及實作方法;及於各產業導入之應用情境;使學生了解其理論方法;並具備實務操作的能力。    AI technology import big data analysis and robot vision includes text and image data types; and is widely used in daily lives from intelligent home appliance and a smart home environment. This course introduces the AI theories and the impalement steps; and the applying scenarios in various industries. In the class; students will understand the AI theories and have the ability of AI implementation.  """,3,課程明確介紹人工智慧理論與實作方法，並要求學生具備人工智慧實務操作與實作能力；屬於人工智慧技術課程，可判定具備基礎AI學習接觸。,0,課程未提及AI倫理、法規、著作權、個資、資安、偏誤、查證、風險管理或責任歸屬，因此不能推定具備負責任使用AI能力。,3,課程涵蓋人工智慧理論、實作方法及各產業應用情境，並明確要求具備AI實作能力；但未說明具體問題任務、結果驗證或品質控制。,0,課程未提及AI協作下的人類主體性、判斷、同理心、溝通、真實場域洞察或創意整合。,A=3;B=0;C=3;D=0,主要依據為人工智慧理論、實作方法、產業應用情境與AI實務操作能力。,大綱未明確呈現AI輔助學習歷程、責任與風險規範、驗證修正流程或人機協作要求。
8194214,人工智慧方法與工具,"""AI技術引發了一場前所未有的革命;讓我們置身於全新世界;擁有無數的機會和挑戰。從訂購商品到安排日程;從監控健康到提供個性化的建議。AI是我們的無所不能的幫手;讓我們節省了大量的時間和精力;專注於更重要的事情。生成式AI透過學習和模仿人類的創造力;創作出極具藝術性和情感的內容。我們可以欣賞到從未見過的繪畫作品;聽到從未聽過的音樂;閱讀到從未讀過的文學作品。這些技術為我們提供了無限的機會和創新;同時也帶來了一些挑戰和風險。我們需要明智地應對這些技術的發展;以確保它們成為推動社會進步和福祉的力量。        本課程從各種角度切入;帶領同學認識不同類型的AI工具:(1) 資料分析、應用層面 (2) 社群網路 (3) 機器學習 (4) 深度學習 (5) 生成式AI。藉由作業、上機練習等方式;讓同學從實作過程中體會其核心精神;並在面對特定資料時;能夠建立問題意識、利用已習得的工具與方法;提出所提出問題的解決方案、或研發與此資料相關的應用。  """,3,課程介紹資料分析、機器學習、深度學習與生成式AI等工具，並透過作業、上機練習讓學生從實作中體會工具與方法；但未明確要求以AI作為自身學習與反思工具。,1,課程指出AI帶來挑戰和風險，並要求明智應對技術發展，但未具體說明倫理、法規、個資、偏誤、查證、治理或責任要求。,4,課程明確要求學生面對特定資料建立問題意識，利用AI工具與方法提出問題解決方案或研發相關應用，並透過作業、上機練習實作；但未明確要求驗證、修正或品質評估。,1,課程提及生成式AI模仿人類創造力並產出藝術、音樂與文學內容，也提到需明智應對其發展；但未明確要求學生保有人類判斷、創意主體性或進行人機協作反思。,A=3;B=1;C=4;D=1,主要符合C，因課程要求運用多類AI工具處理特定資料並提出解決方案或應用，且有作業與上機實作。,B僅有概括的挑戰與風險描述；C缺乏結果驗證、修正與品質控制；D缺乏明確的人類主體性、同理心或真實場域要求。
8194215,人工智慧方法與工具,"""本課程獲教育部教學實踐研究計畫獎助;將先簡介本課程與人工智慧概念;並引導同學們學習如何在人工智慧時代;善用公開資料庫蒐集各種資料類型的資料;且將講授資料前處理;以及基礎統計、探索資料等資料分析方法;進而介紹資料視覺化的工具與應用。此外;課程中也將教導無所不在的社群網路;包含觀念以及Cytoscape社群網路分析工具實作。接著將介紹傳統的機器學習;包含監督式與非監督式學習等;且帶領同學們初探深度學習;最後將介紹目前日新月異的文字、聲音、圖像等生成式人工智慧工具;期末則盼望同學善用人工智慧方法與工具;完成一與永續(SDGs)結合之人工智慧專案;並為社區孩童舉辦AI園遊會;將所學活用;落實大學社會責任;為全球永續盡心力。  """,3,課程介紹多類人工智慧方法與工具，包括資料分析、機器學習、深度學習及生成式AI，並要求學生善用AI方法與工具完成專案；但未明確描述AI如何協助學生自主學習。,1,課程提及人工智慧時代及大學社會責任，但未明確涵蓋AI倫理、法規、個資、資安、偏誤、查證、風險或責任歸屬。,4,課程安排資料蒐集、前處理、統計與探索分析、視覺化、機器學習及生成式AI工具，期末要求完成結合SDGs的人工智慧專案；具備明確實作與應用任務，但未明確要求驗證、修正或人機分工。,2,課程要求完成結合SDGs的AI專案，並為社區孩童舉辦AI園遊會、落實大學社會責任，具備AI與社會情境連結；但未明確要求人類主體性、同理溝通、創意判斷或反思AI結果。,A=3;B=1;C=4;D=2,主要符合C，並有AI專案及社區實踐內容，可部分支持D；課程涵蓋從資料處理到AI工具應用的實作流程。,未明確說明負責任AI規範，以及AI結果查證、偏誤處理、風險評估、人機分工與人類判斷要求。
8194216,人工智慧實務專題,"""本課程目標為使學生具備人工智慧技術小型專案設計及實務開發的能力。人工智慧技術在當今時代進入快速發展的階段;許多導入各產業的應用型態也因應而生。本課程進行人工智慧相關議題的討論與研究;並進行提案發想;專案設計及系統開發;使學生了解人工智慧技術的研究發展現況;並具備小型專案規劃與系統建置的能力。        【注意事項】本課程由三位老師合開;三位老師指導時間、地點如下;請務必於第一堂課到課並完成分組後填覆分組表單:https://reurl.cc/Y4WrbX。第一堂課未到課且完成分組者請自行退選;未退選該科成績以零分計算。        課程三位老師指導方式不同詳述如下:    1.陳昭伶老師;本課程無固定上課時間;討論時間為小組成員皆方便進行時間(建立Line群組隨時聯繫);避免衝堂實體開會為中午(可吃午餐)    實驗室網站 https://www.futuremedialab.tw/    欲加入研究學生 於暑假至加退選週結束期間將line ID mail給老師 lynchen@nccu.edu.tw    需要擋修單及加簽單同學mail電子檔給老師    PS: 最上面問卷:分組表單 尚未有組同學可填寫&quot;待定&quot; 由老師於加退選週後依專長背景協助分至合適組別        2.吳致勳老師;固定每週二D56 Meeting;AI中心研討室(行大8F 160812);實務專題聚焦SDGs永續議題;並導入設計思考觀念與實作;欲請吳致勳老師指導或需加簽的同學請寫信與老師聯繫;信箱:20031214@nccu.edu.tw        3.吳怡潔老師;討論時間固定於每週三D56 Meeting;地點於電算中心智慧教室(140011);教材及作業另開teams群組上傳檔案;加入方式請洽Maty;信箱:matywu@nccu.edu.tw    專長:電腦視覺、行為模式分析、人機互動、語音處理、網路意向分析    最近關注問題:       邊緣運算 -- 視覺導航優化(無人車、無人機)   歷史本文與脈絡   古文辨識   語音、語者辨識   AI 教案輔助、自動評估   同學若有其他想研究問題;可來信或約時間實體討論    """,3,課程以人工智慧技術小型專案設計、提案發想、系統開發及專案規劃為主，屬於AI技術實務課程；但未明確要求使用AI協助自身學習或規劃學習歷程。,0,課程未提及AI倫理、法規、著作權、個資、資安、偏誤、查證、風險管理或責任歸屬，因此不能推定具備負責任使用AI能力。,4,課程明確要求進行AI議題研究、提案發想、專案設計、系統開發與小型專案規劃，並列出電腦視覺、語音辨識、行為模式分析等應用方向；但未明確要求成果驗證、風險評估或品質控制。,2,部分專題方向明確涉及SDGs、設計思考、人機互動及AI應用，具有人與社會情境整合的線索；但未明確要求學生展現人類主體性、同理溝通、創意判斷或反思AI結果。,A=3;B=0;C=4;D=2,主要符合C，因課程以AI專案提案、設計、開發與系統建置為核心，並部分涉及設計思考與人機互動。,大綱未明確說明AI輔助學習、負責任使用AI、成果驗證、偏誤與風險處理、責任歸屬及人機分工。
8194228,人工智慧導論,This course introduces students to the fundamentals; problem-solving methods; and learning paradigms of artificial intelligence. Topics covered include intelligent agents; uninformed and informed searching; adversarial search and games; statistical learning; neural networks; and AI applications.,3,課程明確教授人工智慧基礎、問題解決方法、學習典範、搜尋、統計學習、神經網路與AI應用；屬於人工智慧技術課程，可判定具備基礎AI學習接觸。,0,課程未提及AI倫理、法規、著作權、個資、資安、偏誤、查證、風險管理或責任歸屬，因此不能推定具備負責任使用AI能力。,2,課程涵蓋人工智慧的問題解決方法、搜尋、統計學習、神經網路及應用，可支持初步理解AI解題方法；但未明確安排學生使用AI完成任務、專題或系統，也未提及驗證與品質控制。,0,課程未提及AI協作下的人類判斷、主體性、同理心、溝通、真實世界洞察或創意整合。,A=3;B=0;C=2;D=0,主要依據為人工智慧基礎理論、問題解決方法、學習典範與多項AI技術主題。,大綱未明確呈現AI輔助學習活動、負責任使用規範、實際問題解決任務、成果驗證或人機協作情境。
8194217,人工智慧實務專題,"""本課程目標為使學生具備人工智慧技術小型專案設計及實務開發的能力。人工智慧技術在當今時代進入快速發展的階段;許多導入各產業的應用型態也因應而生。本課程進行人工智慧相關議題的討論與研究;並進行提案發想;專案設計及系統開發;使學生了解人工智慧技術的研究發展現況;並具備小型專案規劃與系統建置的能力。        【注意事項】本課程由三位老師合開;三位老師指導時間、地點如下;請務必於第一堂課到課並完成分組後填覆分組表單:https://reurl.cc/Y4WrbX。第一堂課未到課且完成分組者請自行退選;未退選該科成績以零分計算。        課程三位老師指導方式不同詳述如下:        1.陳昭伶老師;本課程無固定上課時間;討論時間為小組成員皆方便進行時間(建立Line群組隨時聯繫);避免衝堂實體開會為中午(可吃午餐)    實驗室網站 https://www.futuremedialab.tw/    欲加入研究學生 於暑假至加退選週結束期間將line ID mail給老師 lynchen@nccu.edu.tw    需要擋修單及加簽單同學mail電子檔給老師    PS: 最上面問卷:分組表單 尚未有組同學可填寫&quot;待定&quot; 由老師於加退選週後依專長背景協助分至合適組別        2.吳致勳老師;固定每週二D56 Meeting;AI中心研討室(行大8F 160812);實務專題聚焦SDGs永續議題;並導入設計思考觀念與實作;欲請吳致勳老師指導或需加簽的同學請寫信與老師聯繫;信箱:20031214@nccu.edu.tw        3.吳怡潔老師;討論時間固定於每週三D56 Meeting;地點於電算中心智慧教室(140011);教材及作業另開teams群組上傳檔案;加入方式請洽Maty;信箱:matywu@nccu.edu.tw    專長:電腦視覺、行為模式分析、人機互動、語音處理、網路意向分析    最近關注問題:       邊緣運算 -- 視覺導航優化(無人車、無人機)   歷史本文與脈絡   古文辨識   語音、語者辨識   AI 教案輔助、自動評估   同學若有其他想研究問題;可來信或約時間實體討論    """,3,課程以人工智慧技術為核心，明確涵蓋人工智慧相關議題研究、專案提案發想、專案設計及系統開發；依評分原則，專門講授人工智慧技術的課程可評為3分。但大綱未明確要求學生使用AI協助自身學習、規劃學習歷程或進行學習反思。,0,大綱雖提及人工智慧相關議題討論與研究，但未明確提及AI倫理、法規、著作權、個資、資安、偏誤、查證、風險管理、治理或責任歸屬，因此不能推定具備負責任使用AI的能力。,3,課程明確要求進行人工智慧相關專案提案、專案設計及系統開發，並具備小型專案規劃與系統建置能力，符合以AI技術完成專業實作任務；但大綱未明確說明成果驗證、錯誤修正、品質控制、人機分工或流程優化。,0,大綱提及設計思考、人機互動及SDGs永續議題，但未明確置於AI人機協作、人的主體性、同理溝通或AI結果批判判斷的脈絡中，因此不能推定具備AI無法取代的能力。,A=3;B=0;C=3;D=0,主要符合A與C，因課程以人工智慧技術教學為核心，並要求學生進行AI專案設計與系統開發。,B未提及AI倫理、法規、風險或責任；D未明確呈現AI協作下的人類判斷、創意、同理或真實場域觀察；C也缺乏驗證與品質評估要求。
8194218,人工智慧生成圖像與創造力,"""      生成圖像 (Generative Art)從2022年開始商業化;目前已經衍生到生成影片、音樂;品質驚人;也帶來諸多衝擊與挑戰。         本課程規劃將分為理論、實務與倫理三部分;讓同學能夠穩健地在AIGA的時代中;應用工具為自己增能。         本課程適合沒有學習過生成圖像工具 (Midjourney; Dall.e; Leonardo)及影像同學參加。         根據過去兩年經驗;心中有想要完成題目的同學會得到更好的效果。         本課程不講授 Stable Difussion;但會介紹ComfyUI。         本課程內容更新在https://docs.google.com/document/d/1Hw8qXhuc7zt92FMGL2fqFNHggQfce9Ob4JUv96pej2c/edit?usp=sharing         本課程有可能需要短暫自費訂閱服務;但不一定       """,3,課程明確介紹並實務使用生成圖像工具，包括Midjourney、Dall.e、Leonardo及ComfyUI，且以應用工具為自己增能；具備實際接觸AI工具的證據，但未明確涵蓋AI輔助學習策略、提示詞學習歷程或自主學習評估。,2,課程明確表示規劃理論、實務與倫理三部分，並提及生成圖像帶來的衝擊與挑戰，具備AI倫理討論的明確線索；但未具體說明倫理議題、法律規範、個資、偏誤、查證、風險管理或責任要求。,2,課程有生成圖像工具的實務應用，並鼓勵學生完成自訂題目，顯示可運用AI完成創作任務；但大綱未明確要求釐清問題、比較方案、驗證或修正AI結果，也未說明跨域整合、人機分工或品質評估。,2,課程將生成圖像與創造力並置，並提及生成內容帶來的衝擊與挑戰，具備AI協作創作與人類創造力的關聯；但未明確要求學生保有人類主體性、提出判斷理由、進行真實場域觀察或處理同理與人際互動。,A=3;B=2;C=2;D=2,主要符合A，並初步涉及B、C與D；課程明確安排生成圖像工具的理論、實務與倫理內容，且以創造力及個人題目進行應用。,B的倫理內容僅概括提及，C缺乏問題分析、驗證及品質控制，D缺乏明確的人類判斷、主體性、同理互動或真實情境任務。
8194229,金融科技導論,金融科技(Financial Technology; FinTech)是目前全球金融業與科技業的焦點;它所引發的破壞 式創新;正挑戰既有金融服務的供給方式和消費行為。本課程由資工、數學教授群共同開設 ;旨在釐清 FinTech 本質、相關的創新科技、以及關鍵的趨勢。同時我們也會在課程當中邀 請相關學者專家進行演講;並在金融機構(或金融科技新創公司)的協助之下完成期末的 AI 程式競賽。,0,雖然期末安排AI程式競賽，但大綱未明確要求學生使用AI作為學習、資訊整理、理解概念或自主學習工具；課程名稱與其他內容也未呈現運用AI學習的證據。,0,大綱未提及AI倫理、法規、著作權、個資、資安、偏誤、查證、風險管理、治理或責任歸屬，因此不能推定具備負責任使用AI的能力。,2,大綱明確要求在金融機構或金融科技新創公司協助下完成期末AI程式競賽，具備以AI完成明確實作任務的證據；但未說明問題分析、方案比較、結果驗證、錯誤修正、專業品質或人機分工。,0,大綱僅提及AI程式競賽，未明確要求在AI協作情境中進行人類判斷、創意整合、同理溝通、真實場域觀察或承擔決策責任。,A=0;B=0;C=2;D=0,主要依據為期末AI程式競賽，該內容支持有限的AI實作與問題解決判定。,A未呈現AI輔助學習；B未提及AI責任與風險；D未呈現人機協作下的人類不可取代能力；C亦缺乏完整問題解決流程與驗證要求。
8194220,劇本寫作與AI協作,"""人工智慧應渴望而生;迅速編織出模式與文字。然而這反而讓我們自問:書寫的真諦為何?機器的創作;是否真的能稱作創作?    作為一名影視製作人和編劇;我使用AI協助寫作提案和劇本;這讓我重新審視自己的靈魂;也更加專注於創作的本質與品質。我想跟大家分享這一路上的心得。    這門課程旨在幫助學生了解和應用AI技術於劇本寫作;激發創作靈感;構建角色和發展情節。課程將於114年9月13日及9月20日以兩天密集授課的形式進行。通過這門課程;你將學會如何讓技術服務於你的創意和靈感。    課程重點:       了解AI技術在文學創作中的應用   探索AI如何應用於劇本寫作中;了解其原理和極限;發掘其在文學創作中的潛力。   激發創作靈感   探索如何利用AI工具來激發創作靈感;構建鮮活的角色和發展引人入勝的故事情節。   實踐劇本寫作技巧   學習和實踐利用AI進行劇本寫作的技巧;最終創作出一個完整且具有質量的劇本。   探索AI時代的敘事方式   探討在AI時代;敘事方式如何改變我們創建、分享和體驗故事的方式。學習如何運用精準的提示策略;例如少樣本提示和零樣本提示;使AI的創作理念與你同步。      報名和參加條件:       本課程採密集授課形式;有意修課的同學需在開課公告期限內填寫Google表單報名;並接獲通知後始具備上課資格。   獲得上課資格通知的修課同學需自備筆電並事先註冊相關ChatGPT工具帳號。   自選: 如果想要進一步探索進階功能;例如:得到更多的高階版本對話條目、為(劇本)專案建構GPTs機器人;或是使用GPT Store中的外掛功能;請於上課時訂閱一個月Plus(20美金)。   本課程不開放系統選課;修課同學完成兩日密集課程;並繳交課堂作業後;再由開課單位進行加選並追認學分。   本課為大學部1學分課程;碩博士生可報名修習視為旁聽生;不會認列為成績單上的學分;若需學分;則需繳交學分費。   本課程為114學年第1學期課程;學生如於開課當期出國交換、辦理休學或保留學籍或退學;甚至於開學前一學期已畢業者;將無法獲得學分;但可視為旁聽生參加修習。    """,4,課程明確要求學生了解並應用AI於劇本寫作，使用ChatGPT等工具協助激發創作靈感、構建角色、發展情節，並學習少樣本提示與零樣本提示；具備明確的AI輔助創作學習與實作，但未明確提及學習歷程規劃與自主學習策略調整。,2,課程提到了解AI技術的原理和極限，並探討AI時代敘事方式的改變，具備初步的AI影響與限制討論；但未明確涵蓋著作權、AI使用揭露、個資、偏誤、風險管理或責任歸屬。,4,學生需運用AI完成角色、情節與完整劇本創作，並繳交課堂作業，具備明確的AI協作創作任務與可觀察成果；但未說明如何系統性驗證AI結果、規劃人機分工或評估流程品質。,4,課程反覆探問書寫真諦、機器創作是否能稱為創作，並強調讓技術服務於學生的創意與靈感、專注於創作本質與品質，明確涉及人類主體性、創意與價值判斷；但未明確要求提出決策證據、進行真實場域觀察或處理人際協作。,A=4;B=2;C=4;D=4,主要符合A、C與D，因課程有明確的AI協作寫作工具、提示策略、完整劇本實作與作業要求，且強調創意及人類創作主體性。,B所需的倫理、法律、著作權、風險與AI使用揭露內容不足；C與D也缺乏明確的結果驗證、責任及評量機制。
